DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level,Mechanism,atc_category
DDInter1821,Tizanidine,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1834,Topiramate,DDInter1155,Mepyramine,3,Synergy,Respiratory System
DDInter1836,Torasemide,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1851,Trazodone,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1859,Triamterene,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1860,Triazolam,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1861,Trichlormethiazide,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1866,Trifluoperazine,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1867,Triflupromazine,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1870,Trihexyphenidyl,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter45,Alimemazine,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1871,Trimethadione,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1872,Trimethaphan,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1873,Trimethobenzamide,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1876,Trimipramine,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1878,Tripelennamine,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1879,Triprolidine,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1886,Trospium,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1155,Mepyramine,DDInter1889,Tuberculin purified protein derivative,2,Unknown,Respiratory System
DDInter1155,Mepyramine,DDInter1909,Valbenazine,2,Unknown,Respiratory System
DDInter1913,Valproic acid,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1927,Venlafaxine,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1928,Verapamil,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1960,Ziconotide,DDInter1155,Mepyramine,2,Synergy,Respiratory System
DDInter1967,Ziprasidone,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1970,Zolpidem,DDInter1155,Mepyramine,2,Unknown,Respiratory System
DDInter1971,Zonisamide,DDInter1155,Mepyramine,3,Synergy,Respiratory System
DDInter74,Aminophylline,DDInter1782,Tetracosactide,2,Unknown,Respiratory System
DDInter1782,Tetracosactide,DDInter915,Indacaterol,1,Unknown,Respiratory System
DDInter987,Isoprenaline,DDInter1782,Tetracosactide,1,Unknown,Respiratory System
DDInter1346,Orciprenaline,DDInter1782,Tetracosactide,1,Unknown,Respiratory System
DDInter1782,Tetracosactide,DDInter1476,Pirbuterol,1,Unknown,Respiratory System
DDInter1782,Tetracosactide,DDInter1614,Roflumilast,2,Unknown,Respiratory System
DDInter1635,Salmeterol,DDInter1782,Tetracosactide,1,Unknown,Respiratory System
DDInter1769,Terbutaline,DDInter1782,Tetracosactide,1,Unknown,Respiratory System
DDInter1791,Theophylline,DDInter1782,Tetracosactide,2,Unknown,Respiratory System
DDInter1928,Verapamil,DDInter74,Aminophylline,2,Unknown,Respiratory System
DDInter1928,Verapamil,DDInter763,Flurbiprofen,2,Unknown,Respiratory System
DDInter1928,Verapamil,DDInter766,Fluticasone,2,Unknown,Respiratory System
DDInter1928,Verapamil,DDInter915,Indacaterol,1,Unknown,Respiratory System
DDInter1928,Verapamil,DDInter997,Ivacaftor,3,Unknown,Respiratory System
DDInter1928,Verapamil,DDInter1168,Methdilazine,2,Unknown,Respiratory System
DDInter1928,Verapamil,DDInter1363,Oxtriphylline,2,Unknown,Respiratory System
DDInter1928,Verapamil,DDInter1426,Pentoxifylline,2,Unknown,Respiratory System
DDInter1928,Verapamil,DDInter1513,Prednisolone,2,Unknown,Respiratory System
