cid,cid_name,ddinter_name,ddinter_num,match_type,score
CID100003510,granisetron,granisetron,840,exact,1.0
CID100003512,griseofulvin,griseofulvin,843,exact,1.0
CID100003516,guaifenesin,,,unmatched,0.0
CID100003517,icodextrin,,,unmatched,0.0
CID100003519,guanfacine,guanfacine,847,exact,1.0
CID100003520,guanidinium,,,unmatched,0.0
CID100003553,halcinonide,amcinonide,63,fuzzy,0.8571
CID100003559,haloperidol,haloperidol,853,exact,1.0
CID100003598,hexachlorophene,,,unmatched,0.0
CID100003623,homatropine,homatropine,865,exact,1.0
CID100003636,Buscopan,,,unmatched,0.0
CID100003637,hydralazine,hydralazine,882,exact,1.0
CID100003639,hydrochlorothiazide,hydrochlorothiazide,883,exact,1.0
CID100003640,cortisol,,,unmatched,0.0
CID100003642,hydrocortisone,hydrocortisone,885,exact,1.0
CID100003647,hydroflumethiazide,hydroflumethiazide,889,exact,1.0
CID100003648,hydromorphone,hydromorphone,890,exact,1.0
CID100003652,hydroxychloroquine,hydroxychloroquine,893,exact,1.0
CID100003657,hydroxyurea,hydroxyurea,894,exact,1.0
CID100003658,hydroxyzine,hydroxyzine,895,exact,1.0
CID100003661,atropine,atropine,136,exact,1.0
CID100003672,ibuprofen,ibuprofen,900,exact,1.0
CID100003675,phenelzine,phenelzine,1440,exact,1.0
CID100003676,lidocaine,lidocaine,1066,exact,1.0
CID100003685,idarubicin,idarubicin,904,exact,1.0
CID100003687,IdUrd,,,unmatched,0.0
CID100003690,ifosfamide,ifosfamide,906,exact,1.0
CID100003696,imipramine,imipramine,912,exact,1.0
CID100003702,indapamide,indapamide,916,exact,1.0
CID100003706,indinavir,indinavir,917,exact,1.0
CID100003715,indomethacin,indomethacin,921,exact,1.0
CID100003724,iodixanol,iodixanol,958,exact,1.0
CID100003730,iohexol,iohexol,960,exact,1.0
CID100003734,iopamidol,iopamidol,961,exact,1.0
CID100003736,iopromide,iopromide,964,exact,1.0
CID100003737,sodium,,,unmatched,0.0
CID100003738,iotrolan,,,unmatched,0.0
CID100003739,iodipamide,iodipamide,957,exact,1.0
CID100003741,ioversol,ioversol,966,exact,1.0
CID100003742,ioxaglate,,,unmatched,0.0
CID100003743,ioxilan,ioxilan,967,exact,1.0
CID100003746,ipratropium,ipratropium,970,exact,1.0
CID100003749,irbesartan,irbesartan,972,exact,1.0
CID100003750,irinotecan,irinotecan,973,exact,1.0
CID100003759,isocarboxazid,isocarboxazid,981,exact,1.0
CID100003763,isoflurane,isoflurane,983,exact,1.0
CID100003767,isoniazid,isoniazid,986,exact,1.0
CID100003777,isopropyl,,,unmatched,0.0
CID100003779,isoproterenol,,,unmatched,0.0
CID100003780,isosorbide,isosorbide,988,exact,1.0
CID100003783,isoxsuprine,isoxsuprine,992,exact,1.0
CID100003784,isradipine,isradipine,993,exact,1.0
CID100003793,itraconazole,itraconazole,995,exact,1.0
CID100003821,ketamine,ketamine,1007,exact,1.0
CID100003823,ketoconazole,ketoconazole,1008,exact,1.0
CID100003825,ketoprofen,ketoprofen,1009,exact,1.0
CID100003826,ketorolac,ketorolac,1010,exact,1.0
CID100003827,ketotifen,ketotifen,1012,exact,1.0
CID100003830,cytokinin,,,unmatched,0.0
CID100003848,phenyllactate,,,unmatched,0.0
CID100003869,labetalol,labetalol,1013,exact,1.0
CID100003872,lactulose,lactulose,1018,exact,1.0
CID100003877,lamivudine,lamivudine,1019,exact,1.0
CID100003878,lamotrigine,lamotrigine,1020,exact,1.0
CID100003883,lansoprazole,lansoprazole,1022,exact,1.0
CID100003890,latanoprost,latanoprost,1028,exact,1.0
CID100003899,leflunomide,leflunomide,1033,exact,1.0
CID100003902,letrozole,letrozole,1040,exact,1.0
CID100003911,Leuprorelin,,,unmatched,0.0
CID100003914,levobunolol,levobunolol,1049,exact,1.0
CID100003915,levocabastine,,,unmatched,0.0
CID100003916,levomepromazine,,,unmatched,0.0
CID100003918,dextrorphan,,,unmatched,0.0
CID100003928,lincomycin,lincomycin,1071,exact,1.0
CID100003929,linezolid,linezolid,1073,exact,1.0
CID100003937,Lisinopril,Lisinopril,1079,exact,1.0
CID100003938,lisuride,,,unmatched,0.0
CID100003939,LiOH,,,unmatched,0.0
CID100003948,lomefloxacin,lomefloxacin,1084,exact,1.0
CID100003950,lomustine,lomustine,1086,exact,1.0
CID100003954,loperamide,loperamide,1088,exact,1.0
CID100003957,loratadine,loratadine,1091,exact,1.0
CID100003958,lorazepam,lorazepam,1092,exact,1.0
CID100003961,losartan,losartan,1095,exact,1.0
CID100003962,lovastatin,lovastatin,1098,exact,1.0
CID100003964,loxapine,loxapine,1099,exact,1.0
CID100003998,mafenide,,,unmatched,0.0
CID100004004,malathion,,,unmatched,0.0
CID100004011,maprotiline,maprotiline,1124,exact,1.0
CID100004030,mebendazole,mebendazole,1128,exact,1.0
CID100004031,mebeverine,,,unmatched,0.0
CID100004032,mecamylamine,mecamylamine,1130,exact,1.0
CID100004033,nitrogen,,,unmatched,0.0
CID100004034,monamine,,,unmatched,0.0
CID100004036,meclofenamate,,,unmatched,0.0
CID100004042,medroxyprogesterone,medroxyprogesterone acetate,1137,fuzzy,0.8261
CID100004043,medrysone,,,unmatched,0.0
CID100004044,mefenamic,,,unmatched,0.0
CID100004046,mefloquine,mefloquine,1140,exact,1.0
CID100004048,megestrol,,,unmatched,0.0
CID100004051,meloxicam,meloxicam,1143,exact,1.0
CID100004053,melphalan,melphalan,1144,exact,1.0
CID100004054,memantine,memantine,1146,exact,1.0
CID100004057,Cantril,,,unmatched,0.0
CID100004058,meperidine,meperidine,1150,exact,1.0
CID100004060,mephenytoin,mephenytoin,1152,exact,1.0
CID100004062,mepivacaine,mepivacaine,1153,exact,1.0
CID100004064,meprobamate,meprobamate,1154,exact,1.0
CID100004075,5-ASA,,,unmatched,0.0
CID100004086,metaproterenol,,,unmatched,0.0
CID100004091,metformin,metformin,1164,exact,1.0
CID100004095,methadone,methadone,1166,exact,1.0
CID100004101,methenamine,methenamine,1169,exact,1.0
CID100004107,methocarbamol,methocarbamol,1172,exact,1.0
CID100004112,methotrexate,methotrexate,1174,exact,1.0
CID100004114,8-MOP,,,unmatched,0.0
CID100004120,N-methylscopolamine,methscopolamine,1180,fuzzy,0.8824
CID100004121,methyclothiazide,methyclothiazide,2066,exact,1.0
CID100004138,methyldopa,methyldopa,1185,exact,1.0
CID100004139,methylene,,,unmatched,0.0
CID100004140,methylergometrine,methylergometrine,1187,exact,1.0
CID100004158,methylphenidate,methylphenidate,1189,exact,1.0
CID100004159,methylprednisolone,methylprednisolone,1191,exact,1.0
CID100004160,methyltestosterone,methyltestosterone,1193,exact,1.0
CID100004163,methysergide,methysergide,1194,exact,1.0
CID100004168,metoclopramide,metoclopramide,1197,exact,1.0
CID100004170,metolazone,metolazone,1199,exact,1.0
CID100004171,metoprolol,metoprolol,1200,exact,1.0
CID100004173,metronidazole,metronidazole,1202,exact,1.0
CID100004174,metyrapone,metyrapone,1204,exact,1.0
CID100004178,mexiletine,mexiletine,1206,exact,1.0
CID100004184,mianserin,,,unmatched,0.0
CID100004189,miconazole,miconazole,1209,exact,1.0
CID100004192,midazolam,midazolam,1212,exact,1.0
CID100004195,midodrine,midodrine,1213,exact,1.0
CID100004196,mifepristone,mifepristone,1215,exact,1.0
CID100004197,milrinone,milrinone,1221,exact,1.0
CID100004201,minoxidil,minoxidil,1226,exact,1.0
CID100004205,mirtazapine,mirtazapine,1230,exact,1.0
CID100004211,mitotane,mitotane,1233,exact,1.0
CID100004212,mitoxantrone,mitoxantrone,1234,exact,1.0
CID100004235,moclobemide,,,unmatched,0.0
CID100004236,modafinil,modafinil,1236,exact,1.0
CID100004240,mometasone,mometasone,2058,exact,1.0
CID100004248,montelukast,montelukast,1242,exact,1.0
CID100004253,morphine,morphine,1244,exact,1.0
CID100004259,moxifloxacin,moxifloxacin,1247,exact,1.0
CID100004264,mupirocin,mupirocin,1249,exact,1.0
CID100004271,mycophenolate,,,unmatched,0.0
CID100004272,mycophenolic,mycophenolic acid,1252,fuzzy,0.8276
CID100004274,tetrofosmin,tetrofosmin,1786,exact,1.0
CID100004409,nabumetone,nabumetone,1254,exact,1.0
CID100004411,nadolol,nadolol,1255,exact,1.0
CID100004419,nalbuphine,nalbuphine,1257,exact,1.0
CID100004421,nalidixic,,,unmatched,0.0
CID100004422,nalmefene,nalmefene,1260,exact,1.0
CID100004425,naloxone,naloxone,1262,exact,1.0
CID100004428,naltrexone,naltrexone,1263,exact,1.0
CID100004432,nandrolone,oxandrolone,1357,fuzzy,0.8571
CID100004436,naphazoline,,,unmatched,0.0
CID100004440,naratriptan,naratriptan,1267,exact,1.0
CID100004443,nateglinide,nateglinide,1269,exact,1.0
CID100004449,nefazodone,nefazodone,1274,exact,1.0
CID100004450,nefopam,,,unmatched,0.0
CID100004451,nelfinavir,nelfinavir,1276,exact,1.0
CID100004454,neomycin,neomycin,1277,exact,1.0
CID100004456,neostigmine,neostigmine,1279,exact,1.0
